x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.9766,0.5246,0.283,0.1005,0.1941,0.2275,0.1794,0.0141,0.5341,0.2743,0.9743,0.5534,0.6974,0.1263,0.8685,0.4909,0.8727,0.5741,0.4694,0.4405,0.1844,0.0514,0.9411,0.4777,0.8221,0.4007,0.0741,0.6294,0.0536,0.1492,0.5628,0.3038,0.9939,0.1185,0.7644,0.6063,0.7907,0.2257,0.5226,0.4505,0.4427,0.8602,0.99,0.3054,0.621,0.6096,0.7401,0.9476,0.2078,0.211,0.6604,0.1571,0.1738,0.0751,0.0027,0.4505,0.5938,0.2913,0.2315,0.707,0.703,0.454,0.6874,open_palm
0.9239,0.7878,0.6251,0.6612,0.9337,0.4251,0.5446,0.6476,0.9084,0.8266,0.0714,0.1659,0.3076,0.749,0.5692,0.2886,0.1244,0.6887,0.6997,0.9427,0.5005,0.4938,0.0804,0.0399,0.432,0.3223,0.2504,0.0913,0.9619,0.836,0.5752,0.9508,0.9996,0.6723,0.2695,0.0402,0.7563,0.4705,0.6515,0.9161,0.1815,0.5853,0.6348,0.4917,0.0912,0.348,0.3333,0.6701,0.8577,0.3298,0.6937,0.2882,0.9452,0.8136,0.5501,0.4548,0.3145,0.3233,0.9702,0.4042,0.5146,0.9881,0.6577,open_palm
0.5426,0.4132,0.1876,0.3618,0.7564,0.6254,0.76,0.2036,0.5492,0.9277,0.4381,0.6983,0.1214,0.9731,0.6089,0.2393,0.1584,0.5508,0.5523,0.0932,0.9923,0.9129,0.4614,0.1175,0.8321,0.4984,0.7166,0.5089,0.2734,0.8347,0.9802,0.2437,0.5513,0.3836,0.9219,0.5082,0.8793,0.864,0.2762,0.79,0.4149,0.9342,0.5077,0.8205,0.2828,0.2986,0.5869,0.9989,0.4896,0.1486,0.5386,0.3451,0.5519,0.5434,0.4553,0.3218,0.1887,0.6975,0.5718,0.2336,0.7755,0.0436,0.7447,open_palm
0.7052,0.8114,0.3861,0.6637,0.8207,0.9808,0.4953,0.037,0.5023,0.5902,0.8697,0.8742,0.4403,0.526,0.4569,0.7224,0.41,0.6548,0.1544,0.4695,0.9692,0.3386,0.6927,0.6498,0.8518,0.8523,0.8593,0.38,0.3167,0.7187,0.7594,0.8724,0.0359,0.0684,0.6312,0.9209,0.9974,0.7468,0.434,0.0984,0.6337,0.8726,0.4437,0.694,0.9034,0.046,0.7961,0.2934,0.3748,0.1456,0.5312,0.5659,0.7925,0.17,0.079,0.8708,0.6197,0.2408,0.9128,0.1431,0.4611,0.254,0.2553,open_palm
0.0094,0.8046,0.9012,0.6776,0.158,0.4417,0.3456,0.5876,0.6389,0.4243,0.2501,0.8453,0.1992,0.3847,0.4832,0.2372,0.5719,0.5748,0.9927,0.2952,0.9779,0.6582,0.2745,0.5659,0.6858,0.7447,0.049,0.6064,0.4967,0.9042,0.2862,0.7989,0.6071,0.3523,0.6366,0.6209,0.6778,0.7209,0.6592,0.8383,0.6282,0.9034,0.6463,0.3089,0.4408,0.5796,0.7324,0.0901,0.2951,0.7475,0.1756,0.1322,0.5394,0.9715,0.5309,0.9135,0.8305,0.257,0.8247,0.4818,0.8065,0.7466,0.3387,open_palm
0.1152,0.9629,0.1408,0.9665,0.8601,0.7242,0.9799,0.9673,0.8046,0.3658,0.7907,0.0139,0.5366,0.4548,0.6728,0.6723,0.5846,0.8224,0.9403,0.1083,0.2338,0.025,0.8842,0.5614,0.9153,0.2214,0.0632,0.8239,0.9094,0.3022,0.4083,0.1398,0.9463,0.3044,0.4926,0.0972,0.8873,0.1357,0.4536,0.6705,0.7431,0.946,0.4191,0.7423,0.1545,0.4149,0.099,0.4893,0.4081,0.9515,0.0327,0.3705,0.4434,0.9506,0.8555,0.0994,0.6857,0.5445,0.9778,0.3587,0.3981,0.1898,0.1222,open_palm
0.848,0.4547,0.6628,0.6417,0.5971,0.0214,0.7868,0.2436,0.1259,0.5646,0.0686,0.7652,0.2072,0.216,0.8697,0.3286,0.1476,0.9005,0.0028,0.8584,0.1447,0.13,0.2507,0.1745,0.6611,0.0258,0.0149,0.79,0.2379,0.3238,0.1742,0.0524,0.7417,0.5261,0.7457,0.4762,0.778,0.5132,0.1091,0.5038,0.9454,0.0434,0.7832,0.867,0.5215,0.458,0.964,0.0608,0.479,0.4016,0.6861,0.4903,0.9097,0.0735,0.0808,0.6083,0.0657,0.275,0.6331,0.5484,0.3252,0.9946,0.5306,open_palm
0.4537,0.6054,0.0992,0.7018,0.8528,0.6509,0.769,0.7208,0.215,0.4516,0.2285,0.3389,0.4535,0.416,0.0951,0.4268,0.6651,0.3743,0.1526,0.923,0.0671,0.8318,0.0932,0.0966,0.7388,0.8118,0.5564,0.5865,0.5616,0.3296,0.1222,0.3536,0.6653,0.7503,0.8681,0.7211,0.9684,0.6004,0.3516,0.5779,0.2127,0.6567,0.2242,0.1082,0.8454,0.3676,0.7626,0.5741,0.8072,0.8452,0.9745,0.8184,0.6136,0.6427,0.0263,0.9291,0.8295,0.2674,0.1804,0.7027,0.309,0.3398,0.0061,open_palm
0.8699,0.5663,0.4008,0.1419,0.6332,0.0307,0.7461,0.2151,0.4198,0.3409,0.3701,0.7216,0.7768,0.5676,0.085,0.0526,0.1574,0.6178,0.674,0.2721,0.6619,0.4857,0.442,0.2732,0.7549,0.1138,0.4299,0.2832,0.6785,0.4866,0.6671,0.0454,0.3953,0.5993,0.0077,0.3014,0.2112,0.1372,0.2555,0.3281,0.0077,0.747,0.1757,0.3802,0.7037,0.5003,0.8334,0.8062,0.0721,0.8618,0.0423,0.0187,0.9212,0.8621,0.5758,0.5734,0.7095,0.4177,0.1152,0.0209,0.3248,0.8013,0.6181,open_palm
0.832,0.9198,0.0881,0.8445,0.2433,0.5889,0.524,0.3958,0.3103,0.3395,0.3331,0.1681,0.5105,0.114,0.51,0.9059,0.3494,0.7274,0.8189,0.815,0.2363,0.1464,0.1973,0.6024,0.7602,0.6555,0.1771,0.7728,0.4941,0.7544,0.7599,0.4489,0.9242,0.5645,0.6353,0.6245,0.8642,0.6272,0.151,0.0683,0.4422,0.3028,0.2747,0.0562,0.5073,0.3104,0.4519,0.0569,0.8317,0.0767,0.8643,0.8553,0.615,0.5071,0.4627,0.5543,0.7918,0.8959,0.4497,0.8098,0.6518,0.3215,0.4756,open_palm
0.1509,0.0619,0.1035,0.8991,0.3434,0.7143,0.5045,0.1726,0.2477,0.4378,0.4394,0.5227,0.1587,0.3729,0.2829,0.4088,0.3384,0.5979,0.7892,0.6473,0.0659,0.0945,0.6784,0.2841,0.7237,0.6566,0.9063,0.8733,0.3334,0.5827,0.1414,0.3498,0.9677,0.6985,0.392,0.595,0.938,0.3096,0.3767,0.7917,0.8132,0.6701,0.829,0.7388,0.6854,0.5264,0.646,0.4234,0.3618,0.3626,0.1803,0.2142,0.9477,0.4863,0.2265,0.1376,0.0772,0.8444,0.1011,0.7709,0.8351,0.8837,0.0377,ok
0.3368,0.7663,0.131,0.3767,0.1622,0.8313,0.7711,0.809,0.1655,0.4377,0.4109,0.6764,0.2375,0.4442,0.2849,0.7485,0.4489,0.534,0.3095,0.8086,0.469,0.8351,0.3678,0.9471,0.9844,0.4617,0.2818,0.3819,0.5275,0.9663,0.8169,0.8013,0.1384,0.25,0.6412,0.8741,0.5545,0.1026,0.8459,0.8512,0.2851,0.7631,0.2728,0.9053,0.1473,0.4375,0.9464,0.222,0.4511,0.3496,0.0267,0.0533,0.502,0.2358,0.9945,0.3749,0.0282,0.9308,0.8392,0.65,0.7914,0.1376,0.2869,ok
0.8298,0.6961,0.1388,0.7055,0.4486,0.0053,0.0792,0.2559,0.835,0.5488,0.7272,0.5278,0.1112,0.2881,0.3012,0.0477,0.4198,0.7939,0.4571,0.1109,0.9051,0.5967,0.0164,0.5154,0.2419,0.1436,0.4292,0.6148,0.2406,0.4166,0.6644,0.0856,0.9747,0.0677,0.5261,0.5073,0.9883,0.5542,0.3905,0.4701,0.6357,0.981,0.2537,0.0162,0.7885,0.3448,0.7329,0.6283,0.7715,0.7352,0.3325,0.0443,0.546,0.8135,0.1751,0.7791,0.4646,0.6954,0.6317,0.8115,0.0631,0.7762,0.4577,ok
0.2934,0.0438,0.1995,0.0419,0.9334,0.5154,0.9891,0.543,0.2533,0.7533,0.1911,0.357,0.7808,0.8658,0.3319,0.1245,0.368,0.8895,0.7433,0.8946,0.3866,0.9737,0.4962,0.4975,0.9243,0.5193,0.8011,0.7271,0.0789,0.6025,0.8223,0.5455,0.3212,0.0801,0.6609,0.3065,0.6026,0.4261,0.6898,0.3515,0.0424,0.87,0.3526,0.9982,0.2746,0.98,0.9479,0.075,0.6375,0.3633,0.8011,0.6794,0.9528,0.1428,0.6076,0.7813,0.0348,0.0672,0.7785,0.3663,0.3829,0.5672,0.6051,ok
0.6791,0.9488,0.372,0.7631,0.5739,0.5295,0.398,0.6496,0.2496,0.1134,0.7357,0.499,0.387,0.5617,0.2618,0.2603,0.4463,0.9964,0.2856,0.9165,0.4912,0.1226,0.8528,0.452,0.8987,0.4451,0.0878,0.6819,0.8455,0.3196,0.3474,0.0649,0.5422,0.8913,0.8514,0.7118,0.9273,0.6377,0.7937,0.5088,0.1214,0.201,0.1389,0.7904,0.0263,0.554,0.3689,0.8037,0.5516,0.6119,0.0862,0.3093,0.9996,0.7189,0.5257,0.7692,0.8233,0.0738,0.9724,0.6423,0.45,0.6801,0.3445,ok
0.878,0.7803,0.6398,0.182,0.9663,0.4326,0.9107,0.0554,0.1242,0.153,0.1647,0.3227,0.7093,0.346,0.9409,0.8949,0.8459,0.2506,0.6351,0.5508,0.1252,0.3028,0.5335,0.5026,0.1686,0.9416,0.1542,0.6587,0.7206,0.6051,0.8425,0.5636,0.8252,0.0284,0.0455,0.6415,0.5768,0.6511,0.767,0.4166,0.639,0.498,0.6272,0.2897,0.9567,0.4829,0.8047,0.685,0.2974,0.073,0.0599,0.4396,0.4843,0.204,0.6067,0.3126,0.7184,0.7342,0.8608,0.9754,0.1308,0.3705,0.5617,ok
0.3191,0.4665,0.2675,0.2479,0.0968,0.2902,0.3841,0.6154,0.2483,0.8653,0.1597,0.3274,0.5777,0.3127,0.7631,0.4983,0.5147,0.4988,0.3085,0.0232,0.9452,0.5054,0.9667,0.2151,0.3529,0.0505,0.4949,0.8823,0.6543,0.4706,0.5367,0.8472,0.4309,0.8825,0.7275,0.7639,0.3659,0.4006,0.5703,0.1947,0.5532,0.0735,0.5043,0.7644,0.2797,0.9891,0.6804,0.1188,0.9751,0.3939,0.7949,0.3391,0.9389,0.755,0.1991,0.5091,0.5001,0.0453,0.137,0.333,0.4737,0.457,0.6063,ok
0.5155,0.328,0.6131,0.1625,0.9906,0.7393,0.2992,0.3364,0.8283,0.5323,0.7087,0.2998,0.8157,0.3684,0.6738,0.9799,0.5837,0.7968,0.7253,0.688,0.0266,0.4746,0.9671,0.7829,0.7762,0.5776,0.7214,0.5835,0.1705,0.629,0.6197,0.8412,0.1478,0.6807,0.0316,0.9482,0.1099,0.0189,0.3137,0.1514,0.6905,0.4104,0.775,0.9205,0.8728,0.7358,0.0623,0.1381,0.2073,0.325,0.6622,0.5255,0.3138,0.1732,0.9121,0.3423,0.3543,0.772,0.7209,0.6433,0.6933,0.6101,0.1923,ok
0.2465,0.5581,0.2249,0.9729,0.2976,0.289,0.2073,0.705,0.317,0.3488,0.9337,0.7954,0.2735,0.1219,0.6766,0.3797,0.9802,0.8184,0.9546,0.8046,0.2905,0.2876,0.7141,0.3464,0.4424,0.2564,0.4791,0.2021,0.5386,0.933,0.6962,0.1373,0.6157,0.5868,0.2425,0.6698,0.531,0.6379,0.0525,0.4133,0.7174,0.1005,0.7708,0.0052,0.5504,0.9291,0.4069,0.935,0.8784,0.4774,0.1995,0.9639,0.3212,0.6459,0.9079,0.0895,0.5741,0.5352,0.7231,0.9367,0.9132,0.1751,0.8822,ok
0.1758,0.9196,0.9972,0.397,0.4954,0.9366,0.9621,0.926,0.8767,0.0093,0.568,0.1073,0.983,0.2846,0.9891,0.5433,0.4939,0.9386,0.8511,0.468,0.1928,0.1126,0.1625,0.4589,0.2573,0.1862,0.7366,0.7908,0.5678,0.7573,0.1755,0.8561,0.897,0.827,0.5153,0.0867,0.6693,0.1848,0.1406,0.3236,0.248,0.2608,0.2355,0.7538,0.954,0.3019,0.7229,0.0114,0.6537,0.6928,0.0621,0.1182,0.3068,0.4054,0.5025,0.8951,0.7036,0.311,0.1174,0.9161,0.295,0.6146,0.2191,ok
0.8507308959960938,0.7240805625915527,3.547995959252148e-07,0.7820280194282532,0.7035253047943115,-0.028013821691274643,0.7172451019287109,0.6500004529953003,-0.043091848492622375,0.6670376658439636,0.6044256091117859,-0.056305501610040665,0.6253624558448792,0.5666887164115906,-0.06875214725732803,0.744604766368866,0.5092853903770447,-0.022070495411753654,0.712369978427887,0.41982483863830566,-0.04439815133810043,0.693010151386261,0.36431944370269775,-0.06355678290128708,0.6785078644752502,0.3171520233154297,-0.07738631218671799,0.7859796285629272,0.48719388246536255,-0.02537151239812374,0.7669781446456909,0.38918888568878174,-0.043332647532224655,0.7570024132728577,0.32883358001708984,-0.05943221226334572,0.7502185106277466,0.2776479423046112,-0.07115566730499268,0.8302969336509705,0.485545814037323,-0.03304128721356392,0.8236240148544312,0.39312663674354553,-0.052694566547870636,0.8185486793518066,0.3362666070461273,-0.06302792578935623,0.8131639361381531,0.28887346386909485,-0.06969740986824036,0.8770977258682251,0.5010784268379211,-0.043576277792453766,0.885492742061615,0.42539334297180176,-0.06102471798658371,0.8879460692405701,0.3785334527492523,-0.06565085798501968,0.8884146213531494,0.33797746896743774,-0.06766963750123978,thumbs_up
0.8511788249015808,0.7246412038803101,3.752520001398807e-07,0.7806158065795898,0.7026556730270386,-0.02606990560889244,0.7157163023948669,0.6498599052429199,-0.04068664833903313,0.6659173369407654,0.6031268835067749,-0.053742699325084686,0.6248852014541626,0.5664666891098022,-0.06619111448526382,0.7437575459480286,0.5114319324493408,-0.019034123048186302,0.7097576260566711,0.42330697178840637,-0.04018912464380264,0.6897379159927368,0.36965370178222656,-0.058269113302230835,0.6756265163421631,0.32529550790786743,-0.07109583169221878,0.7849981188774109,0.4871392846107483,-0.02253514900803566,0.7658320665359497,0.3878769278526306,-0.0389363095164299,0.7551694512367249,0.32853400707244873,-0.05394132435321808,0.748257577419281,0.2792174816131592,-0.06498491019010544,0.8289355039596558,0.4836406409740448,-0.03039470687508583,0.8236560821533203,0.3898777961730957,-0.04801151156425476,0.8188788294792175,0.3331155776977539,-0.058497633785009384,0.8133822679519653,0.28544682264328003,-0.06588226556777954,0.8754613995552063,0.49787116050720215,-0.04090365767478943,0.8855783939361572,0.42460787296295166,-0.05629150941967964,0.8890044093132019,0.3798004984855652,-0.06049051135778427,0.8894805908203125,0.3406994640827179,-0.06261947005987167,thumbs_up
0.8521768450737,0.7242053151130676,3.7582321965601295e-07,0.7812401056289673,0.7022875547409058,-0.026400357484817505,0.7159680128097534,0.6499976515769958,-0.04135073348879814,0.6657465696334839,0.6035321950912476,-0.054719168692827225,0.6243240833282471,0.5670701861381531,-0.06755612790584564,0.7441133260726929,0.5122627019882202,-0.020193804055452347,0.7099292874336243,0.42373114824295044,-0.041852936148643494,0.6896579265594482,0.3698722720146179,-0.06019626185297966,0.6751229763031006,0.32514718174934387,-0.07319759577512741,0.7854025959968567,0.48780518770217896,-0.02378690429031849,0.7661795020103455,0.3884381353855133,-0.04084301367402077,0.7555541396141052,0.32883375883102417,-0.056174878031015396,0.7485414147377014,0.27895259857177734,-0.06739399582147598,0.829315721988678,0.48401185870170593,-0.031714942306280136,0.8235856294631958,0.3903048634529114,-0.05000120401382446,0.8188996315002441,0.3329836130142212,-0.06070028617978096,0.8136024475097656,0.2845034599304199,-0.06812424212694168,0.8756971955299377,0.49770388007164,-0.04228593781590462,0.8855841159820557,0.42419829964637756,-0.058193933218717575,0.8894285559654236,0.37892013788223267,-0.06251370161771774,0.8905233144760132,0.33920350670814514,-0.06466414034366608,thumbs_up
0.8893123269081116,0.733359694480896,3.500534830891411e-07,0.8160364031791687,0.7253186702728271,-0.031168386340141296,0.7478015422821045,0.6760274767875671,-0.0483524389564991,0.6982842683792114,0.6311815977096558,-0.06271012872457504,0.6533153057098389,0.6004408001899719,-0.07695865631103516,0.7690471410751343,0.5259805917739868,-0.02585449256002903,0.7314488887786865,0.43735334277153015,-0.04831450805068016,0.707730233669281,0.38050657510757446,-0.06902648508548737,0.6888376474380493,0.3333374261856079,-0.08385320007801056,0.8111363649368286,0.5001298189163208,-0.027537478134036064,0.7849751114845276,0.3978565037250519,-0.04478989914059639,0.7698352336883545,0.33431684970855713,-0.06178451329469681,0.7592433094978333,0.2835512161254883,-0.07443176954984665,0.8562008142471313,0.4961288273334503,-0.03371862694621086,0.8413723111152649,0.3976067900657654,-0.05071108415722847,0.8294277191162109,0.3344052731990814,-0.06269172579050064,0.8198692798614502,0.28181910514831543,-0.07149970531463623,0.9032460451126099,0.5080220103263855,-0.04307965189218521,0.9006126523017883,0.42863357067108154,-0.058031048625707626,0.8948566913604736,0.3772926330566406,-0.0629463642835617,0.8885501027107239,0.3313792943954468,-0.06592771410942078,thumbs_up
0.8906071782112122,0.7372546792030334,4.314626664836396e-07,0.8195756077766418,0.7272046208381653,-0.029870346188545227,0.7497771382331848,0.6784248352050781,-0.04691878706216812,0.6987853646278381,0.6361554265022278,-0.06147551164031029,0.6529799699783325,0.6074193120002747,-0.07619313150644302,0.7679135203361511,0.5274941325187683,-0.02525523491203785,0.7323882579803467,0.43783479928970337,-0.048922110348939896,0.7090247273445129,0.3795602321624756,-0.07033777981996536,0.6909809112548828,0.3321918249130249,-0.0856723040342331,0.8092452883720398,0.5013561844825745,-0.0285189151763916,0.7832345366477966,0.39770978689193726,-0.04724816232919693,0.767724335193634,0.33351051807403564,-0.06580579280853271,0.7564162611961365,0.2812235355377197,-0.0795619934797287,0.8534443378448486,0.49721288681030273,-0.03608713299036026,0.8377994894981384,0.39875900745391846,-0.05487913265824318,0.8272212743759155,0.3351329565048218,-0.06776196509599686,0.8187116980552673,0.2822117805480957,-0.0771159678697586,0.899986743927002,0.5112284421920776,-0.0465872660279274,0.8980276584625244,0.4330897331237793,-0.06334400177001953,0.894544243812561,0.382526159286499,-0.068703792989254,0.8906766772270203,0.3382694721221924,-0.07180724292993546,thumbs_up
0.9346645474433899,0.7514514327049255,3.883830572704028e-07,0.8643382787704468,0.7395704984664917,-0.03359174355864525,0.7941963076591492,0.6920331120491028,-0.05539419874548912,0.7391090393066406,0.6562808156013489,-0.0743604525923729,0.6919436454772949,0.6301321983337402,-0.09422080218791962,0.8155247569084167,0.5330772995948792,-0.03927760571241379,0.7787169218063354,0.4402533769607544,-0.07012529671192169,0.753993809223175,0.3777979612350464,-0.09605967998504639,0.7335861325263977,0.32829999923706055,-0.11432111263275146,0.8594387173652649,0.5083853602409363,-0.04368540644645691,0.8344330787658691,0.4016531705856323,-0.06916192173957825,0.8206747174263,0.3366891145706177,-0.08999263495206833,0.8107049465179443,0.28277671337127686,-0.10500194132328033,0.9068987369537354,0.5063028335571289,-0.05217593535780907,0.892240583896637,0.40628790855407715,-0.07628495246171951,0.8847386837005615,0.34248030185699463,-0.08759670704603195,0.8793564438819885,0.28739607334136963,-0.09542512893676758,0.9556254148483276,0.5227715969085693,-0.06393604725599289,0.9538426995277405,0.443329781293869,-0.08442272990942001,0.9544457197189331,0.39114126563072205,-0.08834772557020187,0.955406904220581,0.3452889025211334,-0.0898948684334755,thumbs_up
0.9420474767684937,0.7519571781158447,4.997215796720411e-07,0.8726942539215088,0.7456979751586914,-0.03368447721004486,0.8037319183349609,0.7051492929458618,-0.0559401661157608,0.7462936043739319,0.6716370582580566,-0.0753675177693367,0.6947901248931885,0.6550455689430237,-0.09518799930810928,0.8207758069038391,0.532419741153717,-0.036987774074077606,0.7787993550300598,0.4367983341217041,-0.0650135725736618,0.7527377605438232,0.37626320123672485,-0.08850666135549545,0.7338383197784424,0.3253452181816101,-0.10519849509000778,0.8628907799720764,0.5030824542045593,-0.040705204010009766,0.8322697877883911,0.39077672362327576,-0.06261517107486725,0.8145244717597961,0.3229251801967621,-0.08195771276950836,0.80314040184021,0.2658720910549164,-0.09626996517181396,0.910145103931427,0.4998179078102112,-0.048553984612226486,0.8978994488716125,0.3921787142753601,-0.06965488195419312,0.8882651329040527,0.3271065354347229,-0.08291610330343246,0.880649209022522,0.2723890244960785,-0.09266849607229233,0.9604512453079224,0.5181605219841003,-0.05961638689041138,0.9660598635673523,0.4364944398403168,-0.07797654718160629,0.9665774703025818,0.384954035282135,-0.0836058184504509,0.9656461477279663,0.3392521142959595,-0.08681325614452362,thumbs_up
